Rank,Pokemon,Usage %,Raw Count,Raw %,Real Count,Real %,Generation,Source File
83,Grafaiai,1.01904,29884,1.019,23806,1.041,9,2023-02-pokemon_usage_stats_with_gen.csv
84,Gardevoir,0.98913,29007,0.989,22001,0.962,6,2023-02-pokemon_usage_stats_with_gen.csv
85,Goodra,0.97764,28670,0.978,21888,0.957,8,2023-02-pokemon_usage_stats_with_gen.csv
86,Lucario,0.97297,28533,0.973,20895,0.914,6,2023-02-pokemon_usage_stats_with_gen.csv
87,Forretress,0.96884,28412,0.969,24417,1.067,2,2023-02-pokemon_usage_stats_with_gen.csv
88,Alomomola,0.95988,28149,0.96,22528,0.985,5,2023-02-pokemon_usage_stats_with_gen.csv
89,Pincurchin,0.89198,26158,0.892,23466,1.026,8,2023-02-pokemon_usage_stats_with_gen.csv
90,Toxtricity,0.8214,24088,0.821,18232,0.797,8,2023-02-pokemon_usage_stats_with_gen.csv
91,Staraptor,0.7697,22572,0.77,17972,0.786,4,2023-02-pokemon_usage_stats_with_gen.csv
92,Iron Thorns,0.74719,21912,0.747,15817,0.692,9,2023-02-pokemon_usage_stats_with_gen.csv
93,Sylveon,0.70317,20621,0.703,14828,0.648,6,2023-02-pokemon_usage_stats_with_gen.csv
94,Quagsire,0.69632,20420,0.696,15803,0.691,2,2023-02-pokemon_usage_stats_with_gen.csv
95,Spidops,0.69397,20351,0.694,18319,0.801,9,2023-02-pokemon_usage_stats_with_gen.csv
96,Weavile,0.66253,19429,0.663,14539,0.636,4,2023-02-pokemon_usage_stats_with_gen.csv
97,Arcanine,0.65864,19315,0.659,15119,0.661,8,2023-02-pokemon_usage_stats_with_gen.csv
98,Abomasnow,0.64275,18849,0.643,16423,0.718,6,2023-02-pokemon_usage_stats_with_gen.csv
99,Brambleghast,0.63859,18727,0.639,14388,0.629,9,2023-02-pokemon_usage_stats_with_gen.csv
100,Cetitan,0.61976,18175,0.62,13129,0.574,9,2023-02-pokemon_usage_stats_with_gen.csv
101,Rotom-Heat,0.61502,18036,0.615,14899,0.651,4,2023-02-pokemon_usage_stats_with_gen.csv
102,Slowbro,0.60749,17815,0.607,14187,0.62,8,2023-02-pokemon_usage_stats_with_gen.csv
103,Salazzle,0.60735,17811,0.607,13997,0.612,7,2023-02-pokemon_usage_stats_with_gen.csv
104,Veluza,0.60462,17731,0.605,13036,0.57,9,2023-02-pokemon_usage_stats_with_gen.csv
105,Bellibolt,0.60387,17709,0.604,13763,0.602,9,2023-02-pokemon_usage_stats_with_gen.csv
106,Zoroark,0.56486,16565,0.565,7108,0.311,8,2023-02-pokemon_usage_stats_with_gen.csv
107,Flamigo,0.5515,16173,0.551,12607,0.551,9,2023-02-pokemon_usage_stats_with_gen.csv
108,Umbreon,0.54263,15913,0.543,11995,0.524,2,2023-02-pokemon_usage_stats_with_gen.csv
109,Donphan,0.52609,15428,0.526,12722,0.556,2,2023-02-pokemon_usage_stats_with_gen.csv
110,Jolteon,0.51917,15225,0.519,11818,0.517,1,2023-02-pokemon_usage_stats_with_gen.csv
111,Avalugg,0.51269,15035,0.513,11171,0.488,8,2023-02-pokemon_usage_stats_with_gen.csv
112,Lycanroc-Dusk,0.51044,14969,0.51,11472,0.502,7,2023-02-pokemon_usage_stats_with_gen.csv
113,Bisharp,0.50096,14691,0.501,10792,0.472,5,2023-02-pokemon_usage_stats_with_gen.csv
114,Rabsca,0.47978,14070,0.48,9239,0.404,9,2023-02-pokemon_usage_stats_with_gen.csv
115,Revavroom,0.45346,13298,0.453,9867,0.431,9,2023-02-pokemon_usage_stats_with_gen.csv
116,Hippowdon,0.44739,13120,0.447,11125,0.486,4,2023-02-pokemon_usage_stats_with_gen.csv
117,Golduck,0.43542,12769,0.435,10074,0.44,1,2023-02-pokemon_usage_stats_with_gen.csv
118,Tsareena,0.42853,12567,0.429,9448,0.413,7,2023-02-pokemon_usage_stats_with_gen.csv
119,Vaporeon,0.4272,12528,0.427,9873,0.432,1,2023-02-pokemon_usage_stats_with_gen.csv
120,Heracross,0.42103,12347,0.421,9146,0.4,6,2023-02-pokemon_usage_stats_with_gen.csv
121,Frosmoth,0.41537,12181,0.415,8395,0.367,8,2023-02-pokemon_usage_stats_with_gen.csv
122,Sableye,0.41056,12040,0.411,9546,0.417,6,2023-02-pokemon_usage_stats_with_gen.csv
123,Dudunsparce,0.4091,11997,0.409,9099,0.398,9,2023-02-pokemon_usage_stats_with_gen.csv
124,Tatsugiri,0.34161,10018,0.342,7614,0.333,9,2023-02-pokemon_usage_stats_with_gen.csv
125,Krookodile,0.3413,10009,0.341,7625,0.333,5,2023-02-pokemon_usage_stats_with_gen.csv
126,Dachsbun,0.33998,9970,0.34,7398,0.323,9,2023-02-pokemon_usage_stats_with_gen.csv
127,Drednaw,0.33895,9940,0.339,7290,0.319,8,2023-02-pokemon_usage_stats_with_gen.csv
128,Klefki,0.33629,9862,0.336,8465,0.37,6,2023-02-pokemon_usage_stats_with_gen.csv
129,Chansey,0.32415,9506,0.324,6844,0.299,1,2023-02-pokemon_usage_stats_with_gen.csv
130,Florges,0.32354,9488,0.324,7111,0.311,6,2023-02-pokemon_usage_stats_with_gen.csv
131,Bronzong,0.32054,9400,0.321,7579,0.331,4,2023-02-pokemon_usage_stats_with_gen.csv
132,Farigiraf,0.31307,9181,0.313,6834,0.299,9,2023-02-pokemon_usage_stats_with_gen.csv
133,Indeedee-F,0.30744,9016,0.307,7391,0.323,8,2023-02-pokemon_usage_stats_with_gen.csv
134,Rotom-Mow,0.30185,8852,0.302,7395,0.323,4,2023-02-pokemon_usage_stats_with_gen.csv
135,Primeape,0.29732,8719,0.297,6707,0.293,1,2023-02-pokemon_usage_stats_with_gen.csv
136,Dragalge,0.29282,8587,0.293,6829,0.299,6,2023-02-pokemon_usage_stats_with_gen.csv
137,Altaria,0.29196,8562,0.292,6485,0.284,6,2023-02-pokemon_usage_stats_with_gen.csv
138,Appletun,0.28981,8499,0.29,6289,0.275,8,2023-02-pokemon_usage_stats_with_gen.csv
139,Eelektross,0.28627,8395,0.286,6672,0.292,5,2023-02-pokemon_usage_stats_with_gen.csv
140,Mismagius,0.28484,8353,0.285,6357,0.278,4,2023-02-pokemon_usage_stats_with_gen.csv
141,Clawitzer,0.26305,7714,0.263,6146,0.269,6,2023-02-pokemon_usage_stats_with_gen.csv
142,Glaceon,0.261,7654,0.261,5579,0.244,4,2023-02-pokemon_usage_stats_with_gen.csv
143,Drifblim,0.25725,7544,0.257,5768,0.252,4,2023-02-pokemon_usage_stats_with_gen.csv
144,Froslass,0.25237,7401,0.252,6285,0.275,4,2023-02-pokemon_usage_stats_with_gen.csv
145,Ursaring,0.24559,7202,0.246,5493,0.24,2,2023-02-pokemon_usage_stats_with_gen.csv
146,Hariyama,0.24531,7194,0.245,5539,0.242,3,2023-02-pokemon_usage_stats_with_gen.csv
147,Leafeon,0.23338,6844,0.233,5149,0.225,4,2023-02-pokemon_usage_stats_with_gen.csv
148,Cryogonal,0.22369,6560,0.224,4972,0.217,5,2023-02-pokemon_usage_stats_with_gen.csv
149,Mabosstiff,0.2151,6308,0.215,4631,0.202,9,2023-02-pokemon_usage_stats_with_gen.csv
150,Lilligant,0.21118,6193,0.211,4577,0.2,8,2023-02-pokemon_usage_stats_with_gen.csv
151,Zangoose,0.20975,6151,0.21,4430,0.194,3,2023-02-pokemon_usage_stats_with_gen.csv
152,Pikachu,0.2048,6006,0.205,4366,0.191,7,2023-02-pokemon_usage_stats_with_gen.csv
153,Houndoom,0.20221,5930,0.202,4533,0.198,6,2023-02-pokemon_usage_stats_with_gen.csv
154,Toxicroak,0.19952,5851,0.2,4329,0.189,4,2023-02-pokemon_usage_stats_with_gen.csv
155,Mudsdale,0.19249,5645,0.192,4609,0.202,7,2023-02-pokemon_usage_stats_with_gen.csv
156,Gogoat,0.19035,5582,0.19,4048,0.177,6,2023-02-pokemon_usage_stats_with_gen.csv
157,Spiritomb,0.18844,5526,0.188,4365,0.191,4,2023-02-pokemon_usage_stats_with_gen.csv
158,Slaking,0.18762,5502,0.188,4336,0.19,3,2023-02-pokemon_usage_stats_with_gen.csv
159,Coalossal,0.18431,5405,0.184,4322,0.189,8,2023-02-pokemon_usage_stats_with_gen.csv
160,Bombirdier,0.18376,5389,0.184,4178,0.183,9,2023-02-pokemon_usage_stats_with_gen.csv
161,Beartic,0.1822,5343,0.182,3923,0.172,5,2023-02-pokemon_usage_stats_with_gen.csv
162,Lycanroc,0.18175,5330,0.182,4144,0.181,7,2023-02-pokemon_usage_stats_with_gen.csv
163,Ampharos,0.18049,5293,0.18,4001,0.175,6,2023-02-pokemon_usage_stats_with_gen.csv
164,Murkrow,0.17984,5274,0.18,4136,0.181,2,2023-02-pokemon_usage_stats_with_gen.csv
165,Muk,0.17415,5107,0.174,4139,0.181,7,2023-02-pokemon_usage_stats_with_gen.csv
166,Klawf,0.16828,4935,0.168,3738,0.163,9,2023-02-pokemon_usage_stats_with_gen.csv
167,Honchkrow,0.16515,4843,0.165,3689,0.161,4,2023-02-pokemon_usage_stats_with_gen.csv
168,Eiscue,0.16436,4820,0.164,3335,0.146,8,2023-02-pokemon_usage_stats_with_gen.csv
169,Crabominable,0.16378,4803,0.164,3509,0.153,7,2023-02-pokemon_usage_stats_with_gen.csv
170,Tropius,0.16187,4747,0.162,3543,0.155,3,2023-02-pokemon_usage_stats_with_gen.csv
171,Komala,0.15086,4424,0.151,3451,0.151,7,2023-02-pokemon_usage_stats_with_gen.csv
172,Braviary,0.14905,4371,0.149,3333,0.146,8,2023-02-pokemon_usage_stats_with_gen.csv
173,Scyther,0.14898,4369,0.149,3240,0.142,1,2023-02-pokemon_usage_stats_with_gen.csv
174,Palossand,0.14619,4287,0.146,3339,0.146,7,2023-02-pokemon_usage_stats_with_gen.csv
175,Raichu,0.1455,4267,0.146,3207,0.14,7,2023-02-pokemon_usage_stats_with_gen.csv
176,Cacturne,0.14295,4192,0.143,3157,0.138,3,2023-02-pokemon_usage_stats_with_gen.csv
177,Lurantis,0.14264,4183,0.143,3051,0.133,7,2023-02-pokemon_usage_stats_with_gen.csv
178,Luxray,0.13899,4076,0.139,3072,0.134,4,2023-02-pokemon_usage_stats_with_gen.csv
179,Vivillon,0.13504,3960,0.135,2999,0.131,6,2023-02-pokemon_usage_stats_with_gen.csv
180,Medicham,0.12695,3723,0.127,2787,0.122,6,2023-02-pokemon_usage_stats_with_gen.csv
181,Flareon,0.12474,3658,0.125,2769,0.121,1,2023-02-pokemon_usage_stats_with_gen.csv
182,Sawsbuck,0.12351,3622,0.124,2628,0.115,5,2023-02-pokemon_usage_stats_with_gen.csv
183,Rotom-Frost,0.12303,3608,0.123,2703,0.118,4,2023-02-pokemon_usage_stats_with_gen.csv
184,Electrode,0.1218,3572,0.122,2976,0.13,8,2023-02-pokemon_usage_stats_with_gen.csv
185,Jumpluff,0.11863,3479,0.119,2754,0.12,2,2023-02-pokemon_usage_stats_with_gen.csv
186,Squawkabilly,0.11618,3407,0.116,2643,0.116,9,2023-02-pokemon_usage_stats_with_gen.csv
187,Venomoth,0.10677,3131,0.107,2327,0.102,1,2023-02-pokemon_usage_stats_with_gen.csv
188,Dunsparce,0.10329,3029,0.103,2278,0.1,2,2023-02-pokemon_usage_stats_with_gen.csv
189,Sandaconda,0.09712,2848,0.097,2420,0.106,8,2023-02-pokemon_usage_stats_with_gen.csv
190,Pyroar,0.0877,2572,0.088,1906,0.083,6,2023-02-pokemon_usage_stats_with_gen.csv
191,Oricorio-Sensu,0.08658,2539,0.087,1894,0.083,7,2023-02-pokemon_usage_stats_with_gen.csv
192,Qwilfish,0.08477,2486,0.085,2067,0.09,8,2023-02-pokemon_usage_stats_with_gen.csv
193,Bruxish,0.08303,2435,0.083,1804,0.079,7,2023-02-pokemon_usage_stats_with_gen.csv
194,Wugtrio,0.0788,2311,0.079,1749,0.076,9,2023-02-pokemon_usage_stats_with_gen.csv
195,Kricketune,0.07765,2277,0.078,1865,0.082,4,2023-02-pokemon_usage_stats_with_gen.csv
196,Hattrem,0.07563,2218,0.076,1952,0.085,8,2023-02-pokemon_usage_stats_with_gen.csv
197,Camerupt,0.07539,2211,0.075,1687,0.074,6,2023-02-pokemon_usage_stats_with_gen.csv
198,Naclstack,0.07522,2206,0.075,1688,0.074,9,2023-02-pokemon_usage_stats_with_gen.csv
199,Oricorio-Pom-Pom,0.07468,2190,0.075,1654,0.072,7,2023-02-pokemon_usage_stats_with_gen.csv
200,Flapple,0.07185,2107,0.072,1566,0.068,8,2023-02-pokemon_usage_stats_with_gen.csv
201,Dugtrio,0.07123,2089,0.071,1704,0.074,7,2023-02-pokemon_usage_stats_with_gen.csv
202,Copperajah,0.07021,2059,0.07,1546,0.068,8,2023-02-pokemon_usage_stats_with_gen.csv
203,Lycanroc-Midnight,0.06919,2029,0.069,1424,0.062,7,2023-02-pokemon_usage_stats_with_gen.csv
204,Magneton,0.06646,1949,0.066,1563,0.068,1,2023-02-pokemon_usage_stats_with_gen.csv
205,Oricorio,0.06609,1938,0.066,1441,0.063,7,2023-02-pokemon_usage_stats_with_gen.csv
206,Persian,0.06469,1897,0.065,1515,0.066,7,2023-02-pokemon_usage_stats_with_gen.csv
207,Falinks,0.06448,1891,0.064,1351,0.059,8,2023-02-pokemon_usage_stats_with_gen.csv
208,Wigglytuff,0.06268,1838,0.063,1458,0.064,1,2023-02-pokemon_usage_stats_with_gen.csv
209,Vespiquen,0.06097,1788,0.061,1393,0.061,4,2023-02-pokemon_usage_stats_with_gen.csv
210,Basculin,0.06029,1768,0.06,1315,0.057,8,2023-02-pokemon_usage_stats_with_gen.csv
211,Whiscash,0.05998,1759,0.06,1372,0.06,3,2023-02-pokemon_usage_stats_with_gen.csv
212,Haunter,0.05855,1717,0.059,1335,0.058,1,2023-02-pokemon_usage_stats_with_gen.csv
213,Greedent,0.05592,1640,0.056,1228,0.054,8,2023-02-pokemon_usage_stats_with_gen.csv
214,Passimian,0.05531,1622,0.055,1273,0.056,7,2023-02-pokemon_usage_stats_with_gen.csv
215,Skuntank,0.05487,1609,0.055,1257,0.055,4,2023-02-pokemon_usage_stats_with_gen.csv
216,Dedenne,0.05384,1579,0.054,1242,0.054,6,2023-02-pokemon_usage_stats_with_gen.csv
217,Sudowoodo,0.05047,1480,0.05,1131,0.049,2,2023-02-pokemon_usage_stats_with_gen.csv
218,Seviper,0.04842,1420,0.048,1106,0.048,3,2023-02-pokemon_usage_stats_with_gen.csv
219,Pachirisu,0.04777,1401,0.048,1090,0.048,4,2023-02-pokemon_usage_stats_with_gen.csv
220,Gumshoos,0.04685,1374,0.047,877,0.038,7,2023-02-pokemon_usage_stats_with_gen.csv
221,Flittle,0.04147,1216,0.041,852,0.037,9,2023-02-pokemon_usage_stats_with_gen.csv
222,Perrserker,0.03921,1150,0.039,855,0.037,8,2023-02-pokemon_usage_stats_with_gen.csv
223,Banette,0.03788,1111,0.038,865,0.038,6,2023-02-pokemon_usage_stats_with_gen.csv
224,Swalot,0.03765,1104,0.038,892,0.039,3,2023-02-pokemon_usage_stats_with_gen.csv
225,Rotom-Fan,0.03523,1033,0.035,829,0.036,4,2023-02-pokemon_usage_stats_with_gen.csv
226,Tauros-Paldea-Combat,0.03516,1031,0.035,768,0.034,9,2023-02-pokemon_usage_stats_with_gen.csv
227,Oinkologne,0.03403,998,0.034,712,0.031,9,2023-02-pokemon_usage_stats_with_gen.csv
228,Misdreavus,0.03376,990,0.034,781,0.034,2,2023-02-pokemon_usage_stats_with_gen.csv
229,Lumineon,0.03113,913,0.031,720,0.031,4,2023-02-pokemon_usage_stats_with_gen.csv
230,Crocalor,0.03079,903,0.031,718,0.031,9,2023-02-pokemon_usage_stats_with_gen.csv
231,Gothitelle,0.03035,890,0.03,670,0.029,5,2023-02-pokemon_usage_stats_with_gen.csv
232,Hypno,0.02943,863,0.029,678,0.03,1,2023-02-pokemon_usage_stats_with_gen.csv
233,Rotom,0.0282,827,0.028,665,0.029,4,2023-02-pokemon_usage_stats_with_gen.csv
234,Girafarig,0.02813,825,0.028,643,0.028,2,2023-02-pokemon_usage_stats_with_gen.csv
235,Oranguru,0.02684,787,0.027,647,0.028,7,2023-02-pokemon_usage_stats_with_gen.csv
236,Delibird,0.02626,770,0.026,584,0.026,2,2023-02-pokemon_usage_stats_with_gen.csv
237,Sunflora,0.02445,717,0.024,537,0.023,2,2023-02-pokemon_usage_stats_with_gen.csv
238,Pineco,0.02421,710,0.024,681,0.03,2,2023-02-pokemon_usage_stats_with_gen.csv
239,Magnemite,0.02145,629,0.021,605,0.026,1,2023-02-pokemon_usage_stats_with_gen.csv
240,Grumpig,0.01913,561,0.019,389,0.017,3,2023-02-pokemon_usage_stats_with_gen.csv
241,Stonjourner,0.01893,555,0.019,409,0.018,8,2023-02-pokemon_usage_stats_with_gen.csv
242,Vigoroth,0.01691,496,0.017,357,0.016,3,2023-02-pokemon_usage_stats_with_gen.csv
243,Oricorio-Pa'u,0.01586,465,0.016,316,0.014,7,2023-02-pokemon_usage_stats_with_gen.csv
244,Luvdisc,0.01558,457,0.016,333,0.015,3,2023-02-pokemon_usage_stats_with_gen.csv
245,Phanpy,0.01521,446,0.015,335,0.015,2,2023-02-pokemon_usage_stats_with_gen.csv
246,Hatenna,0.01367,401,0.014,353,0.015,8,2023-02-pokemon_usage_stats_with_gen.csv
247,Surskit,0.0135,396,0.014,359,0.016,3,2023-02-pokemon_usage_stats_with_gen.csv
248,Stantler,0.01347,395,0.013,311,0.014,2,2023-02-pokemon_usage_stats_with_gen.csv
249,Dragonair,0.0132,387,0.013,294,0.013,1,2023-02-pokemon_usage_stats_with_gen.csv
250,Voltorb,0.01228,360,0.012,347,0.015,8,2023-02-pokemon_usage_stats_with_gen.csv
251,Glalie,0.01224,359,0.012,270,0.012,6,2023-02-pokemon_usage_stats_with_gen.csv
252,Eevee,0.01193,350,0.012,274,0.012,7,2023-02-pokemon_usage_stats_with_gen.csv
253,Starly,0.01193,350,0.012,268,0.012,4,2023-02-pokemon_usage_stats_with_gen.csv
254,Riolu,0.01193,350,0.012,251,0.011,4,2023-02-pokemon_usage_stats_with_gen.csv
255,Oinkologne-F,0.01149,337,0.011,234,0.01,9,2023-02-pokemon_usage_stats_with_gen.csv
256,Wooper,0.01071,314,0.011,255,0.011,9,2023-02-pokemon_usage_stats_with_gen.csv
257,Toedscool,0.01026,301,0.01,249,0.011,9,2023-02-pokemon_usage_stats_with_gen.csv
258,Glimmet,0.0102,299,0.01,266,0.012,9,2023-02-pokemon_usage_stats_with_gen.csv
259,Arctibax,0.00914,268,0.009,165,0.007,9,2023-02-pokemon_usage_stats_with_gen.csv
260,Lechonk,0.00883,259,0.009,206,0.009,9,2023-02-pokemon_usage_stats_with_gen.csv
261,Drifloon,0.00866,254,0.009,247,0.011,4,2023-02-pokemon_usage_stats_with_gen.csv
